destination_id,destination_slug,destination_name,place_id,place_name,category,location,image,rating,review_count,source,avg_cost
74,buon-ma-thuot,Buôn Ma Thuột,1561,Khu Sinh Thái - Cafe - Ẩm Thực BBB,nature,"Khu Sinh Thái - Cafe - Ẩm Thực BBB, Nguyễn Trác, Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1560,Khu Sinh Thái Tây Nguyên,nature,"Khu Sinh Thái Tây Nguyên, Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1559,Khu Sinh Thái Vườn Xanh,nature,"Khu Sinh Thái Vườn Xanh, Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1564,Khu vui chơi giải trí - Cà Phê ZinZin,entertainment,"Khu vui chơi giải trí - Cà Phê ZinZin, 362 Hoàng Diệu, Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1563,Khu vui chơi trẻ em - Happyday,entertainment,"Khu vui chơi trẻ em - Happyday, 17 Nguyễn Đức Cảnh, Thắng Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1565,Khu vui chơi trẻ em tom & Jerry,entertainment,"Khu vui chơi trẻ em tom & Jerry, 187C Mai Hắc Đế, Tân Thành, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1583,Kichi Kichi,shopping,"Kichi Kichi, Tầng L5-02-03-04, TTTM Vincom Plaza Buôn Mê Thuột, 78 Lý Thường Kiệt, Thống Nhất, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1575,MƠAK COFFEE - CÀ PHÊ HẠT RANG NGUYÊN CHẤT BUÔN MA THUỘT,entertainment,"39/1 Nguyễn Trường Tộ, Ea Kao, Đắk Lắk 63500","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1574,Nhà D,entertainment,"Nhà D, 184, Trần Quý Cáp, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1523,Nhà hàng Bia Tiệp,food,"Nhà hàng Bia Tiệp, 149-151 Ngô Quyền, Tân An, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1524,Nhà hàng Hùng Bích,food,"Nhà hàng Hùng Bích, 121 Lý Thường Kiệt, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1526,Nhà hàng Khách sạn Đại Hùng,food,"Nhà hàng Khách sạn Đại Hùng, 191 Hùng Vương, Tự An, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1525,Nhà hàng Trống Đồng,food,"Nhà hàng Trống Đồng, 21 Hẻm 1A Bà Triệu, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1522,Nhà hàng Tứ Xuyên - Cơm niêu Hà Nội,food,"Nhà hàng Tứ Xuyên - Cơm niêu Hà Nội, 31 Trường Chinh, Tân Lợi, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1586,Phố Nails,shopping,"21 Phạm Ngũ Lão, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1587,"Phở - Lẩu bò Thịnh Phát. Ngon, bổ, rẻ. Địa chỉ 11B Hoàng Hoa Thám",shopping,"11 Hoàng Hoa Thám, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1530,Quán Ăn Cô Khang,food,"Quán Ăn Cô Khang, 41 Bà Triệu, Tự An, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1528,Quán Ăn Mđrak,food,"Quán Ăn Mđrak, 31 Đường Trần Khánh Dư, Phường Tân Lợi, Thành Phố Buôn Ma Thuột, Tỉnh Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1531,Quán Ăn Sơn Trang,food,"Quán Ăn Sơn Trang, 70 Đường Ama Khê, Phường Tân Lập, Thành Phố Buôn Ma Thuột, Tỉnh Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1529,Quán ăn rau sạch,food,"Quán ăn rau sạch, 51 Trần Phú, Thắng Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1527,Quán ăn sân bay BMT,food,"Quán ăn sân bay BMT, Hoà Thắng, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1547,Quốc Tịch,attraction,"Quốc Tịch, Nguyễn Thị Định, Thành Nhất, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1570,Rạp Chiếu Phim HD media Cafe BMT,entertainment,"Rạp Chiếu Phim HD media Cafe BMT, 198 Phạm Ngũ Lão, Cư Ê Bur, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1569,Rạp chiếu phim Hưng Đạo,entertainment,"Rạp chiếu phim Hưng Đạo, 237 Lê Hồng Phong, Thống Nhất, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1568,Rạp chiếu phim Kim Đồng,entertainment,"Rạp chiếu phim Kim Đồng, 4 Hai Bà Trưng, Thống Nhất, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1588,Shop Mỹ Phẩm Uri House BMT - Địa Chỉ Mua Sắm Uy Tín,shopping,"Shop Mỹ Phẩm Uri House BMT - Địa Chỉ Mua Sắm Uy Tín, 353 Phan Chu Trinh, Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1571,Starlight Cinema Vincom Buôn Ma Thuột,entertainment,"Starlight Cinema Vincom Buôn Ma Thuột, Vincom Plaza, 78 Lý Thường Kiệt, Thắng Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1589,Trung Tâm Mua Sắm Hàng Thái Lan,shopping,"Trung Tâm Mua Sắm Hàng Thái Lan, 14 Lê Thánh Tông, Thắng Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1590,Trung Tâm Mua Sắm Điện Máy Nguyễn Kim Buôn Mê Thuột,shopping,"Trung Tâm Mua Sắm Điện Máy Nguyễn Kim Buôn Mê Thuột, 1 Nguyễn Chí Thanh, Tân An, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1544,Trung Tâm Quản Lý Di Tích Buôn Ma Thuột,attraction,"Trung Tâm Quản Lý Di Tích Buôn Ma Thuột, 1 Đường Lê Duẩn, Phường Tự An, Thành Phố Buôn Ma Thuột, Tỉnh Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1546,Trung Tâm Quản Lý Di Tích Tỉnh Dak Lak,attraction,"Trung Tâm Quản Lý Di Tích Tỉnh Dak Lak, Đường Tán Thuật, Tự An, Thành phố Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1582,Trung tâm thương mại Biti's Tây Nguyên,shopping,"Trung tâm thương mại Biti's Tây Nguyên, 37 Nguyễn Tất Thành, Tân Lợi, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
74,buon-ma-thuot,Buôn Ma Thuột,1581,Trung tâm thương mại Tây Nguyên,shopping,"Trung tâm thương mại Tây Nguyên, 37 Nguyễn Tất Thành, Tân Lợi, Buôn Ma Thuột, Đắk Lắk","",0,0,goong_places,0
